2025-10-07 10:58:02.471 [main] ERROR Unidad1.ejemplo.FileNuevo - Error al crear fichero:El sistema no puede encontrar la ruta especificada
2025-10-07 11:51:53.760 [main] INFO  Unidad1.ejemplo.FileNuevo - Android
2025-10-07 11:51:53.762 [main] INFO  Unidad1.ejemplo.FileNuevo - Brave.lnk
2025-10-07 11:51:53.762 [main] INFO  Unidad1.ejemplo.FileNuevo - desktop.ini
2025-10-07 11:51:53.762 [main] INFO  Unidad1.ejemplo.FileNuevo - fichero
2025-10-07 11:51:53.762 [main] INFO  Unidad1.ejemplo.FileNuevo - fichero.txt
2025-10-07 11:51:53.762 [main] INFO  Unidad1.ejemplo.FileNuevo - Optativa
2025-10-07 11:51:53.763 [main] INFO  Unidad1.ejemplo.FileNuevo - Spring
2025-10-07 11:51:53.763 [main] INFO  Unidad1.ejemplo.FileNuevo - SpringNuevo
2025-10-07 11:51:53.763 [main] INFO  Unidad1.ejemplo.FileNuevo - Tu Chrome - Chrome.lnk
2025-10-07 11:51:53.763 [main] INFO  Unidad1.ejemplo.FileNuevo - Visual Studio Code.lnk
